morph_path,reason,source_a_path,source_b_path
MAD22/original_sorted/OpenCV/001_03-vs-013_03.jpg,missing_source_images:013_03.jpg,MAD22/original_sorted/BonaFide/001_03.jpg,MAD22/original_sorted/BonaFide/013_03.jpg
MAD22/original_sorted/OpenCV/002_08-vs-100_08.jpg,missing_source_images:100_08.jpg,MAD22/original_sorted/BonaFide/002_08.jpg,MAD22/original_sorted/BonaFide/100_08.jpg
MAD22/original_sorted/OpenCV/004_08-vs-008_08.jpg,missing_source_images:004_08.jpg,MAD22/original_sorted/BonaFide/004_08.jpg,MAD22/original_sorted/BonaFide/008_08.jpg
MAD22/original_sorted/OpenCV/004_08-vs-092_08.jpg,missing_source_images:004_08.jpg,MAD22/original_sorted/BonaFide/004_08.jpg,MAD22/original_sorted/BonaFide/092_08.jpg
MAD22/original_sorted/OpenCV/004_08-vs-114_08.jpg,missing_source_images:004_08.jpg,MAD22/original_sorted/BonaFide/004_08.jpg,MAD22/original_sorted/BonaFide/114_08.jpg
MAD22/original_sorted/OpenCV/004_08-vs-142_08.jpg,missing_source_images:004_08.jpg,MAD22/original_sorted/BonaFide/004_08.jpg,MAD22/original_sorted/BonaFide/142_08.jpg
MAD22/original_sorted/OpenCV/004_08-vs-143_08.jpg,missing_source_images:004_08.jpg,MAD22/original_sorted/BonaFide/004_08.jpg,MAD22/original_sorted/BonaFide/143_08.jpg
MAD22/original_sorted/OpenCV/005_03-vs-114_03.jpg,missing_source_images:114_03.jpg,MAD22/original_sorted/BonaFide/005_03.jpg,MAD22/original_sorted/BonaFide/114_03.jpg
MAD22/original_sorted/OpenCV/005_08-vs-104_08.jpg,missing_source_images:104_08.jpg,MAD22/original_sorted/BonaFide/005_08.jpg,MAD22/original_sorted/BonaFide/104_08.jpg
MAD22/original_sorted/OpenCV/007_08-vs-020_08.jpg,missing_source_images:007_08.jpg,MAD22/original_sorted/BonaFide/007_08.jpg,MAD22/original_sorted/BonaFide/020_08.jpg
MAD22/original_sorted/OpenCV/007_08-vs-039_08.jpg,missing_source_images:007_08.jpg,MAD22/original_sorted/BonaFide/007_08.jpg,MAD22/original_sorted/BonaFide/039_08.jpg
MAD22/original_sorted/OpenCV/007_08-vs-062_08.jpg,missing_source_images:007_08.jpg,MAD22/original_sorted/BonaFide/007_08.jpg,MAD22/original_sorted/BonaFide/062_08.jpg
MAD22/original_sorted/OpenCV/007_08-vs-081_08.jpg,missing_source_images:007_08.jpg,MAD22/original_sorted/BonaFide/007_08.jpg,MAD22/original_sorted/BonaFide/081_08.jpg
MAD22/original_sorted/OpenCV/007_08-vs-094_08.jpg,missing_source_images:007_08.jpg,MAD22/original_sorted/BonaFide/007_08.jpg,MAD22/original_sorted/BonaFide/094_08.jpg
MAD22/original_sorted/OpenCV/007_08-vs-100_08.jpg,missing_source_images:007_08.jpg|100_08.jpg,MAD22/original_sorted/BonaFide/007_08.jpg,MAD22/original_sorted/BonaFide/100_08.jpg
MAD22/original_sorted/OpenCV/007_08-vs-102_08.jpg,missing_source_images:007_08.jpg,MAD22/original_sorted/BonaFide/007_08.jpg,MAD22/original_sorted/BonaFide/102_08.jpg
MAD22/original_sorted/OpenCV/007_08-vs-107_08.jpg,missing_source_images:007_08.jpg,MAD22/original_sorted/BonaFide/007_08.jpg,MAD22/original_sorted/BonaFide/107_08.jpg
MAD22/original_sorted/OpenCV/007_08-vs-122_08.jpg,missing_source_images:007_08.jpg,MAD22/original_sorted/BonaFide/007_08.jpg,MAD22/original_sorted/BonaFide/122_08.jpg
MAD22/original_sorted/OpenCV/007_08-vs-124_08.jpg,missing_source_images:007_08.jpg,MAD22/original_sorted/BonaFide/007_08.jpg,MAD22/original_sorted/BonaFide/124_08.jpg
MAD22/original_sorted/OpenCV/007_08-vs-139_08.jpg,missing_source_images:007_08.jpg,MAD22/original_sorted/BonaFide/007_08.jpg,MAD22/original_sorted/BonaFide/139_08.jpg
MAD22/original_sorted/OpenCV/008_03-vs-070_03.jpg,missing_source_images:070_03.jpg,MAD22/original_sorted/BonaFide/008_03.jpg,MAD22/original_sorted/BonaFide/070_03.jpg
MAD22/original_sorted/OpenCV/009_08-vs-100_08.jpg,missing_source_images:100_08.jpg,MAD22/original_sorted/BonaFide/009_08.jpg,MAD22/original_sorted/BonaFide/100_08.jpg
MAD22/original_sorted/OpenCV/012_03-vs-070_03.jpg,missing_source_images:070_03.jpg,MAD22/original_sorted/BonaFide/012_03.jpg,MAD22/original_sorted/BonaFide/070_03.jpg
MAD22/original_sorted/OpenCV/012_08-vs-104_08.jpg,missing_source_images:104_08.jpg,MAD22/original_sorted/BonaFide/012_08.jpg,MAD22/original_sorted/BonaFide/104_08.jpg
MAD22/original_sorted/OpenCV/012_08-vs-105_08.jpg,missing_source_images:105_08.jpg,MAD22/original_sorted/BonaFide/012_08.jpg,MAD22/original_sorted/BonaFide/105_08.jpg
MAD22/original_sorted/OpenCV/012_08-vs-138_08.jpg,missing_source_images:138_08.jpg,MAD22/original_sorted/BonaFide/012_08.jpg,MAD22/original_sorted/BonaFide/138_08.jpg
MAD22/original_sorted/OpenCV/013_03-vs-020_03.jpg,missing_source_images:013_03.jpg,MAD22/original_sorted/BonaFide/013_03.jpg,MAD22/original_sorted/BonaFide/020_03.jpg
