image_index,image_path,image_type,roles,identity_ids,num_trials,trial_ids
0,MAD22/original_sorted/BonaFide/001_08.jpg,bona_fide,hidden|known,001_08,16,OpenCV_001_08_vs_010_08_A_to_B|OpenCV_001_08_vs_010_08_B_to_A|OpenCV_001_08_vs_014_08_A_to_B|OpenCV_001_08_vs_014_08_B_to_A|OpenCV_001_08_vs_032_08_A_to_B|OpenCV_001_08_vs_032_08_B_to_A|OpenCV_001_08_vs_039_08_A_to_B|OpenCV_001_08_vs_039_08_B_to_A|OpenCV_001_08_vs_087_08_A_to_B|OpenCV_001_08_vs_087_08_B_to_A|OpenCV_001_08_vs_090_08_A_to_B|OpenCV_001_08_vs_090_08_B_to_A|OpenCV_001_08_vs_094_08_A_to_B|OpenCV_001_08_vs_094_08_B_to_A|OpenCV_001_08_vs_122_08_A_to_B|OpenCV_001_08_vs_122_08_B_to_A
1,MAD22/original_sorted/BonaFide/002_03.jpg,bona_fide,hidden|known,002_03,4,OpenCV_002_03_vs_027_03_A_to_B|OpenCV_002_03_vs_027_03_B_to_A|OpenCV_002_03_vs_102_03_A_to_B|OpenCV_002_03_vs_102_03_B_to_A
2,MAD22/original_sorted/BonaFide/010_08.jpg,bona_fide,hidden|known,010_08,2,OpenCV_001_08_vs_010_08_A_to_B|OpenCV_001_08_vs_010_08_B_to_A
3,MAD22/original_sorted/BonaFide/014_08.jpg,bona_fide,hidden|known,014_08,2,OpenCV_001_08_vs_014_08_A_to_B|OpenCV_001_08_vs_014_08_B_to_A
4,MAD22/original_sorted/BonaFide/027_03.jpg,bona_fide,hidden|known,027_03,2,OpenCV_002_03_vs_027_03_A_to_B|OpenCV_002_03_vs_027_03_B_to_A
5,MAD22/original_sorted/BonaFide/032_08.jpg,bona_fide,hidden|known,032_08,2,OpenCV_001_08_vs_032_08_A_to_B|OpenCV_001_08_vs_032_08_B_to_A
6,MAD22/original_sorted/BonaFide/039_08.jpg,bona_fide,hidden|known,039_08,2,OpenCV_001_08_vs_039_08_A_to_B|OpenCV_001_08_vs_039_08_B_to_A
7,MAD22/original_sorted/BonaFide/087_08.jpg,bona_fide,hidden|known,087_08,2,OpenCV_001_08_vs_087_08_A_to_B|OpenCV_001_08_vs_087_08_B_to_A
8,MAD22/original_sorted/BonaFide/090_08.jpg,bona_fide,hidden|known,090_08,2,OpenCV_001_08_vs_090_08_A_to_B|OpenCV_001_08_vs_090_08_B_to_A
9,MAD22/original_sorted/BonaFide/094_08.jpg,bona_fide,hidden|known,094_08,2,OpenCV_001_08_vs_094_08_A_to_B|OpenCV_001_08_vs_094_08_B_to_A
10,MAD22/original_sorted/BonaFide/102_03.jpg,bona_fide,hidden|known,102_03,2,OpenCV_002_03_vs_102_03_A_to_B|OpenCV_002_03_vs_102_03_B_to_A
11,MAD22/original_sorted/BonaFide/122_08.jpg,bona_fide,hidden|known,122_08,2,OpenCV_001_08_vs_122_08_A_to_B|OpenCV_001_08_vs_122_08_B_to_A
12,MAD22/original_sorted/OpenCV/001_08-vs-010_08.jpg,morph,morph,,2,OpenCV_001_08_vs_010_08_A_to_B|OpenCV_001_08_vs_010_08_B_to_A
13,MAD22/original_sorted/OpenCV/001_08-vs-014_08.jpg,morph,morph,,2,OpenCV_001_08_vs_014_08_A_to_B|OpenCV_001_08_vs_014_08_B_to_A
14,MAD22/original_sorted/OpenCV/001_08-vs-032_08.jpg,morph,morph,,2,OpenCV_001_08_vs_032_08_A_to_B|OpenCV_001_08_vs_032_08_B_to_A
15,MAD22/original_sorted/OpenCV/001_08-vs-039_08.jpg,morph,morph,,2,OpenCV_001_08_vs_039_08_A_to_B|OpenCV_001_08_vs_039_08_B_to_A
16,MAD22/original_sorted/OpenCV/001_08-vs-087_08.jpg,morph,morph,,2,OpenCV_001_08_vs_087_08_A_to_B|OpenCV_001_08_vs_087_08_B_to_A
17,MAD22/original_sorted/OpenCV/001_08-vs-090_08.jpg,morph,morph,,2,OpenCV_001_08_vs_090_08_A_to_B|OpenCV_001_08_vs_090_08_B_to_A
18,MAD22/original_sorted/OpenCV/001_08-vs-094_08.jpg,morph,morph,,2,OpenCV_001_08_vs_094_08_A_to_B|OpenCV_001_08_vs_094_08_B_to_A
19,MAD22/original_sorted/OpenCV/001_08-vs-122_08.jpg,morph,morph,,2,OpenCV_001_08_vs_122_08_A_to_B|OpenCV_001_08_vs_122_08_B_to_A
20,MAD22/original_sorted/OpenCV/002_03-vs-027_03.jpg,morph,morph,,2,OpenCV_002_03_vs_027_03_A_to_B|OpenCV_002_03_vs_027_03_B_to_A
21,MAD22/original_sorted/OpenCV/002_03-vs-102_03.jpg,morph,morph,,2,OpenCV_002_03_vs_102_03_A_to_B|OpenCV_002_03_vs_102_03_B_to_A
