trial_id,morph_method,direction,morph_path,known_path,hidden_path,known_id,hidden_id,source_a_id,source_b_id
OpenCV_001_08_vs_010_08_A_to_B,OpenCV,A_to_B,MAD22/original_sorted/OpenCV/001_08-vs-010_08.jpg,MAD22/original_sorted/BonaFide/001_08.jpg,MAD22/original_sorted/BonaFide/010_08.jpg,001_08,010_08,001_08,010_08
OpenCV_001_08_vs_010_08_B_to_A,OpenCV,B_to_A,MAD22/original_sorted/OpenCV/001_08-vs-010_08.jpg,MAD22/original_sorted/BonaFide/010_08.jpg,MAD22/original_sorted/BonaFide/001_08.jpg,010_08,001_08,001_08,010_08
OpenCV_001_08_vs_014_08_A_to_B,OpenCV,A_to_B,MAD22/original_sorted/OpenCV/001_08-vs-014_08.jpg,MAD22/original_sorted/BonaFide/001_08.jpg,MAD22/original_sorted/BonaFide/014_08.jpg,001_08,014_08,001_08,014_08
OpenCV_001_08_vs_014_08_B_to_A,OpenCV,B_to_A,MAD22/original_sorted/OpenCV/001_08-vs-014_08.jpg,MAD22/original_sorted/BonaFide/014_08.jpg,MAD22/original_sorted/BonaFide/001_08.jpg,014_08,001_08,001_08,014_08
OpenCV_001_08_vs_032_08_A_to_B,OpenCV,A_to_B,MAD22/original_sorted/OpenCV/001_08-vs-032_08.jpg,MAD22/original_sorted/BonaFide/001_08.jpg,MAD22/original_sorted/BonaFide/032_08.jpg,001_08,032_08,001_08,032_08
OpenCV_001_08_vs_032_08_B_to_A,OpenCV,B_to_A,MAD22/original_sorted/OpenCV/001_08-vs-032_08.jpg,MAD22/original_sorted/BonaFide/032_08.jpg,MAD22/original_sorted/BonaFide/001_08.jpg,032_08,001_08,001_08,032_08
OpenCV_001_08_vs_039_08_A_to_B,OpenCV,A_to_B,MAD22/original_sorted/OpenCV/001_08-vs-039_08.jpg,MAD22/original_sorted/BonaFide/001_08.jpg,MAD22/original_sorted/BonaFide/039_08.jpg,001_08,039_08,001_08,039_08
OpenCV_001_08_vs_039_08_B_to_A,OpenCV,B_to_A,MAD22/original_sorted/OpenCV/001_08-vs-039_08.jpg,MAD22/original_sorted/BonaFide/039_08.jpg,MAD22/original_sorted/BonaFide/001_08.jpg,039_08,001_08,001_08,039_08
OpenCV_001_08_vs_087_08_A_to_B,OpenCV,A_to_B,MAD22/original_sorted/OpenCV/001_08-vs-087_08.jpg,MAD22/original_sorted/BonaFide/001_08.jpg,MAD22/original_sorted/BonaFide/087_08.jpg,001_08,087_08,001_08,087_08
OpenCV_001_08_vs_087_08_B_to_A,OpenCV,B_to_A,MAD22/original_sorted/OpenCV/001_08-vs-087_08.jpg,MAD22/original_sorted/BonaFide/087_08.jpg,MAD22/original_sorted/BonaFide/001_08.jpg,087_08,001_08,001_08,087_08
OpenCV_001_08_vs_090_08_A_to_B,OpenCV,A_to_B,MAD22/original_sorted/OpenCV/001_08-vs-090_08.jpg,MAD22/original_sorted/BonaFide/001_08.jpg,MAD22/original_sorted/BonaFide/090_08.jpg,001_08,090_08,001_08,090_08
OpenCV_001_08_vs_090_08_B_to_A,OpenCV,B_to_A,MAD22/original_sorted/OpenCV/001_08-vs-090_08.jpg,MAD22/original_sorted/BonaFide/090_08.jpg,MAD22/original_sorted/BonaFide/001_08.jpg,090_08,001_08,001_08,090_08
OpenCV_001_08_vs_094_08_A_to_B,OpenCV,A_to_B,MAD22/original_sorted/OpenCV/001_08-vs-094_08.jpg,MAD22/original_sorted/BonaFide/001_08.jpg,MAD22/original_sorted/BonaFide/094_08.jpg,001_08,094_08,001_08,094_08
OpenCV_001_08_vs_094_08_B_to_A,OpenCV,B_to_A,MAD22/original_sorted/OpenCV/001_08-vs-094_08.jpg,MAD22/original_sorted/BonaFide/094_08.jpg,MAD22/original_sorted/BonaFide/001_08.jpg,094_08,001_08,001_08,094_08
OpenCV_001_08_vs_122_08_A_to_B,OpenCV,A_to_B,MAD22/original_sorted/OpenCV/001_08-vs-122_08.jpg,MAD22/original_sorted/BonaFide/001_08.jpg,MAD22/original_sorted/BonaFide/122_08.jpg,001_08,122_08,001_08,122_08
OpenCV_001_08_vs_122_08_B_to_A,OpenCV,B_to_A,MAD22/original_sorted/OpenCV/001_08-vs-122_08.jpg,MAD22/original_sorted/BonaFide/122_08.jpg,MAD22/original_sorted/BonaFide/001_08.jpg,122_08,001_08,001_08,122_08
OpenCV_002_03_vs_027_03_A_to_B,OpenCV,A_to_B,MAD22/original_sorted/OpenCV/002_03-vs-027_03.jpg,MAD22/original_sorted/BonaFide/002_03.jpg,MAD22/original_sorted/BonaFide/027_03.jpg,002_03,027_03,002_03,027_03
OpenCV_002_03_vs_027_03_B_to_A,OpenCV,B_to_A,MAD22/original_sorted/OpenCV/002_03-vs-027_03.jpg,MAD22/original_sorted/BonaFide/027_03.jpg,MAD22/original_sorted/BonaFide/002_03.jpg,027_03,002_03,002_03,027_03
OpenCV_002_03_vs_102_03_A_to_B,OpenCV,A_to_B,MAD22/original_sorted/OpenCV/002_03-vs-102_03.jpg,MAD22/original_sorted/BonaFide/002_03.jpg,MAD22/original_sorted/BonaFide/102_03.jpg,002_03,102_03,002_03,102_03
OpenCV_002_03_vs_102_03_B_to_A,OpenCV,B_to_A,MAD22/original_sorted/OpenCV/002_03-vs-102_03.jpg,MAD22/original_sorted/BonaFide/102_03.jpg,MAD22/original_sorted/BonaFide/002_03.jpg,102_03,002_03,002_03,102_03
